name,category,rating,review_count,address,phone,website,google_maps_url
IBERIA-Georgian Restaurant,Georgian restaurant,4.6,,294-296 Caledonian Rd,,,https://www.google.com/maps/place/IBERIA-Georgian+Restaurant/data=!4m7!3m6!1s0x48761b6b3a34bd97:0xbc3a7db6f47c2f64!8m2!3d51.5395253!4d-0.1165883!16s%2Fg%2F1tz956_x!19sChIJl700OmsbdkgRZC989LZ9Orw?authuser=0&hl=en&rclk=1
Luce e Limoni - Italian (Sicilian) Restaurant,Sicilian restaurant,4.7,,91-93 Gray's Inn Rd,,,https://www.google.com/maps/place/Luce+e+Limoni+-+Italian+%28Sicilian%29+Restaurant/data=!4m7!3m6!1s0x48761b4851161007:0xca257e0114240c4a!8m2!3d51.5232347!4d-0.114901!16s%2Fg%2F1jkyhg45t!19sChIJBxAWUUgbdkgRSgwkFAF-Jco?authuser=0&hl=en&rclk=1
Daphne Restaurant 🇬🇷,Greek restaurant,4.8,,83 Bayham St,,,https://www.google.com/maps/place/Daphne+Restaurant+%F0%9F%87%AC%F0%9F%87%B7/data=!4m7!3m6!1s0x48761b1fc4d79c93:0xd1e0b8ad4300cfb0!8m2!3d51.5377298!4d-0.1403803!16s%2Fg%2F1vnnhwp7!19sChIJk5zXxB8bdkgRsM8AQ6244NE?authuser=0&hl=en&rclk=1
Keepers Kitchen & Bar,European restaurant,,,10 Pepys St,,,https://www.google.com/maps/place/Keepers+Kitchen+%26+Bar/data=!4m7!3m6!1s0x4876034c0d5dd785:0xd2575881802d3f0!8m2!3d51.5107012!4d-0.0772113!16s%2Fg%2F11b6llrzx8!19sChIJhdddDUwDdkgR8NMCGIh1JQ0?authuser=0&hl=en&rclk=1
Bella Italia - Wellington Street,Restaurant,4.6,,28 Wellington St,,,https://www.google.com/maps/place/Bella+Italia+-+Wellington+Street/data=!4m7!3m6!1s0x4876053548dfd49b:0x2b33954832714bd7!8m2!3d51.5122573!4d-0.1205209!16s%2Fg%2F11ffl_yb_5!19sChIJm9TfSDUFdkgR10txMkiVMys?authuser=0&hl=en&rclk=1
Bill's Baker Street Restaurant,British restaurant,4.7,,119-121 Baker St,,,https://www.google.com/maps/place/Bill%27s+Baker+Street+Restaurant/data=!4m7!3m6!1s0x48761acec6d3e177:0x4681bf29c2f9a683!8m2!3d51.521674!4d-0.1575435!16s%2Fg%2F11bw4bbk8b!19sChIJd-HTxs4adkgRg6b5wim_gUY?authuser=0&hl=en&rclk=1
Rotunda Bar and Restaurant,Modern British restaurant,4.1,,90 York Wy,,,https://www.google.com/maps/place/Rotunda+Bar+and+Restaurant/data=!4m7!3m6!1s0x48761b3e69e594f5:0x450a6a2fd3fdf74d!8m2!3d51.5349539!4d-0.1216748!16s%2Fg%2F11bbrlzbld!19sChIJ9ZTlaT4bdkgRTff90y9qCkU?authuser=0&hl=en&rclk=1
Bill’s London Bridge Restaurant,British restaurant,4.5,,"Victor Wharf, Clink St",,,https://www.google.com/maps/place/Bill%E2%80%99s+London+Bridge+Restaurant/data=!4m7!3m6!1s0x48760357ad9aec53:0x420854926970a51e!8m2!3d51.5069673!4d-0.0915278!16s%2Fg%2F1pwfct0ll!19sChIJU-yarVcDdkgRHqVwaZJUCEI?authuser=0&hl=en&rclk=1
Ni Fon Kitchen & Bar,Taiwanese restaurant,4.5,,74 Green Lanes,,,https://www.google.com/maps/place/Ni+Fon+Kitchen+%26+Bar/data=!4m7!3m6!1s0x48761d879050cf31:0x8b5c6d1abce3c360!8m2!3d51.5539213!4d-0.088326!16s%2Fg%2F11rtf5j098!19sChIJMc9QkIcddkgRYMPjvBptXIs?authuser=0&hl=en&rclk=1
Giacomo's,Italian restaurant,4.7,,428 Finchley Rd,,,https://www.google.com/maps/place/Giacomo%27s/data=!4m7!3m6!1s0x48761085d5540a3b:0x8bb092551a67a87c!8m2!3d51.5622097!4d-0.1971207!16s%2Fg%2F1tdkg3qb!19sChIJOwpU1YUQdkgRfKhnGlWSsIs?authuser=0&hl=en&rclk=1
Caravan Covent Garden,Restaurant,4.8,,30-35 Drury Ln,,,https://www.google.com/maps/place/Caravan+Covent+Garden/data=!4m7!3m6!1s0x487605be9c3069f5:0x68367c9767b171dc!8m2!3d51.5148989!4d-0.1227191!16s%2Fg%2F11vf223rkz!19sChIJ9WkwnL4FdkgR3HGxZ5d8Nmg?authuser=0&hl=en&rclk=1
Mielo Restaurant,Mediterranean restaurant,4.8,,35 Paddington St,,,https://www.google.com/maps/place/Mielo+Restaurant/data=!4m7!3m6!1s0x48761b6685b8e91b:0x2549e000263fa178!8m2!3d51.5202928!4d-0.1561284!16s%2Fg%2F11tf5lf_dr!19sChIJG-m4hWYbdkgReKE_JgDgSSU?authuser=0&hl=en&rclk=1
Giraffe,Restaurant,4.3,,"Behind the, Royal Festival Hall, Riverside Level 1",,,https://www.google.com/maps/place/Giraffe/data=!4m7!3m6!1s0x487604b7e7c78711:0x1785345b24d3f9fb!8m2!3d51.5062579!4d-0.1170463!16s%2Fg%2F1tdykpgy!19sChIJEYfH57cEdkgR-_nTJFs0hRc?authuser=0&hl=en&rclk=1
Bar Remo 🇮🇹,Italian restaurant,4.6,,2 Princes St,,,https://www.google.com/maps/place/Bar+Remo+%F0%9F%87%AE%F0%9F%87%B9/data=!4m7!3m6!1s0x487603555cc8a5cd:0x79ff0e55cc21674b!8m2!3d51.5146877!4d-0.1424893!16s%2Fg%2F1w15yxnb!19sChIJzaXIXFUDdkgRS2chzFUO_3k?authuser=0&hl=en&rclk=1
Morso 🇮🇹,Italian restaurant,4.6,,130 Boundary Rd,,,https://www.google.com/maps/place/Morso+%F0%9F%87%AE%F0%9F%87%B9/data=!4m7!3m6!1s0x48761bf18d81a2c9:0xfd60e48ef18f9ce2!8m2!3d51.5370577!4d-0.1857808!16s%2Fg%2F11g0m943lb!19sChIJyaKBjfEbdkgR4pyP8Y7kYP0?authuser=0&hl=en&rclk=1
Trattoria Verdi 🇮🇹,Italian restaurant,4.6,,110 Southampton Row,,,https://www.google.com/maps/place/Trattoria+Verdi+%F0%9F%87%AE%F0%9F%87%B9/data=!4m7!3m6!1s0x48761b36a64559f7:0xa992dfb48eb9bd0d!8m2!3d51.5204927!4d-0.1225899!16s%2Fg%2F1tf7g4f_!19sChIJ91lFpjYbdkgRDb25jrTfkqk?authuser=0&hl=en&rclk=1
Ekachai,Southeast Asian restaurant,4.3,,66 York Wy,,,https://www.google.com/maps/place/Ekachai/data=!4m7!3m6!1s0x48761b3e6916599f:0xb61374fd8e578035!8m2!3d51.5338562!4d-0.1221941!16s%2Fg%2F11g02b7wct!19sChIJn1kWaT4bdkgRNYBXjv10E7Y?authuser=0&hl=en&rclk=1
Chris's Kitchen,Family restaurant,4.9,,237 Royal College St,,,https://www.google.com/maps/place/Chris%27s+Kitchen/data=!4m7!3m6!1s0x48761b1dc64a8b95:0xf5edbbacafdf3ec8!8m2!3d51.5423726!4d-0.1390925!16s%2Fg%2F11b_3cnx_8!19sChIJlYtKxh0bdkgRyD7fr6y77fU?authuser=0&hl=en&rclk=1
The Shed,British restaurant,4.6,,122 Palace Gardens Terrace,,,https://www.google.com/maps/place/The+Shed/data=!4m7!3m6!1s0x48760ff95f106941:0x1460d2b3cdb1e65a!8m2!3d51.5090215!4d-0.1938101!16s%2Fg%2F1hdz5m82b!19sChIJQWkQX_kPdkgRWuaxzbPSYBQ?authuser=0&hl=en&rclk=1
Cocotte Shoreditch,Brunch restaurant,4.3,,8 Hoxton Square,,,https://www.google.com/maps/place/Cocotte+Shoreditch/data=!4m7!3m6!1s0x48761cbad1492a65:0x64ed4dc9e985eaa2!8m2!3d51.5278256!4d-0.0817791!16s%2Fg%2F11gh34g4ct!19sChIJZSpJ0bocdkgRouqF6clN7WQ?authuser=0&hl=en&rclk=1
Franco Manca King's Cross,Pizza restaurant,4.5,,62-68 York Wy,,,https://www.google.com/maps/place/Franco+Manca+King%27s+Cross/data=!4m7!3m6!1s0x48761b3e66d9a7e9:0x8f095daca0b38eeb!8m2!3d51.5337046!4d-0.1221518!16s%2Fg%2F11gbv56mwj!19sChIJ6afZZj4bdkgR646zoKxdCY8?authuser=0&hl=en&rclk=1
Bill's Covent Garden Restaurant,British restaurant,4.6,,"St Martin's Courtyard, Slingsby Pl",,,https://www.google.com/maps/place/Bill%27s+Covent+Garden+Restaurant/data=!4m7!3m6!1s0x487604cd0236edc5:0xdfb61b2136a1e365!8m2!3d51.5125814!4d-0.1265727!16s%2Fg%2F1hc0sg6r4!19sChIJxe02As0EdkgRZeOhNiEbtt8?authuser=0&hl=en&rclk=1
Mio Casa,Italian restaurant,4.8,,58 Great Peter St,,,https://www.google.com/maps/place/Mio+Casa/data=!4m7!3m6!1s0x487604dc4a89091f:0xd29771595ba82145!8m2!3d51.4966506!4d-0.1334519!16s%2Fg%2F11c0xhjjmf!19sChIJHwmJStwEdkgRRSGoW1lxl9I?authuser=0&hl=en&rclk=1
Prima Sapori d'Italia 🇮🇹,Italian restaurant,4.5,,Tavistock St,,,https://www.google.com/maps/place/Prima+Sapori+d%27Italia+%F0%9F%87%AE%F0%9F%87%B9/data=!4m7!3m6!1s0x487604cb941f5a5f:0xf720544d038c4f05!8m2!3d51.5113483!4d-0.122259!16s%2Fg%2F1tghcm9b!19sChIJX1oflMsEdkgRBU-MA01UIPc?authuser=0&hl=en&rclk=1
